run_id,group,variant,seed,IC_mean,IC_std,IC_IR,IC_positive_ratio,IC_valid_months,prediction_months,prediction_rows,IC_pearson_mean,LS_mean_return,LS_std_return,LS_sharpe,LS_max_drawdown,Long_mean_return,Long_sharpe,Short_mean_return,Avg_turnover,Avg_transaction_cost,LS_win_rate
baseline_ridge,baseline,ridge,42,0.8205513784461153,0.06047780555744559,13.567810056644737,1.0,6,6,120,0.8130570787145975,0.024959789438013472,0.0041319175161722375,20.925695289730598,0.0,0.027297481074243082,17.952039461723086,-0.025355130703465147,0.683258225420321,0.0013665164508406419,1.0
baseline_random_forest,baseline,random_forest,42,0.8132832080200502,0.07867646562857918,10.337058248898074,1.0,6,6,120,0.849394686755557,0.02467499140478319,0.003608140421319365,23.689953160848425,0.0,0.024954197488006914,15.195740651614157,-0.026565263619200113,0.5423695744101598,0.0010847391488203195,1.0
baseline_mlp,baseline,mlp,42,0.5824561403508771,0.21209867533495755,2.746156426630347,1.0,6,6,120,0.5383673705097146,0.01882734899065451,0.008464785277775446,7.7048439986452095,0.0,0.01902639532079185,5.288175451450845,-0.021128889389004247,0.6251466821217678,0.0012502933642435357,1.0
baseline_transformer,baseline,transformer,42,0.7654135338345864,0.10748671901731974,7.121005653835731,1.0,6,6,120,0.7620445783324025,0.024913253326295636,0.005421542687864144,15.918354987619965,0.0,0.025708303460102503,11.573612725149225,-0.026451529288506703,0.5833315240044844,0.0011666630480089688,1.0
baseline_tfa,baseline,tfa,42,0.8586466165413533,0.053900912642935,15.930094212493811,1.0,6,6,120,0.8876043747992782,0.0275668596099658,0.0037017754214737687,25.796919593015062,0.0,0.028575539787645158,31.37648847583227,-0.028643155413044834,0.5212439951895993,0.0010424879903791985,1.0
ungated_seed13,ablation,ungated,13,0.8481203007518795,0.04301908462180748,19.71497785710544,1.0,6,6,120,0.8694831876451502,0.027693969765019446,0.004105619787853534,23.36668526306373,0.0,0.029802582688126158,25.400440320299353,-0.027914134196991514,0.5821943387696965,0.001164388677539393,1.0
gated_seed13,ablation,gated,13,0.8644110275689222,0.03833161069784431,22.5508662910827,1.0,6,6,120,0.8836772181139994,0.02799369788832652,0.004080114295836372,23.76722979735841,0.0,0.030079339006904172,23.627917940087826,-0.028317049616168394,0.6022482116048817,0.0012044964232097635,1.0
gated_prediction_only_seed13,ablation,gated_prediction_only,13,0.8536340852130326,0.04668601823987136,18.284576783290586,1.0,6,6,120,0.8823073292355791,0.027559573136554962,0.004186321261610969,22.805025187701176,0.0,0.02953359652739508,26.81635238676929,-0.027914134196991514,0.5821461128191695,0.0011642922256383389,1.0
ungated_seed42,ablation,ungated,42,0.8531328320802003,0.04757840238717821,17.931094557099062,1.0,6,6,120,0.8819651694688607,0.026905405618151565,0.004275171268962235,21.80101174762984,0.0,0.029349547670461485,26.30366998983468,-0.026550766632770378,0.5223757667321846,0.0010447515334643693,1.0
gated_seed42,ablation,gated,42,0.8586466165413533,0.053900912642935,15.930094212493811,1.0,6,6,120,0.8876043747992782,0.0275668596099658,0.0037017754214737687,25.796919593015062,0.0,0.028575539787645158,31.37648847583227,-0.028643155413044834,0.5212439951895993,0.0010424879903791985,1.0
gated_prediction_only_seed42,ablation,gated_prediction_only,42,0.8551378446115288,0.04433073184987548,19.28995549875928,1.0,6,6,120,0.8877089084625481,0.02707027714294738,0.003370945407700935,27.818365304547275,0.0,0.028636363127116243,24.854887479496774,-0.027832092948011467,0.5819754473082368,0.0011639508946164735,1.0
ungated_seed101,ablation,ungated,101,0.8724310776942353,0.05019418826992857,17.38111737164819,1.0,6,6,120,0.8805575881807849,0.028198799051366838,0.0038269995986871916,25.524827693291122,0.0,0.029591512941416515,24.844762321596395,-0.02913823991900823,0.5830386894227678,0.0011660773788455358,1.0
gated_seed101,ablation,gated,101,0.8456140350877193,0.0659234582668386,12.827209878233703,1.0,6,6,120,0.875476183230003,0.026706975769814952,0.003601978411614064,25.684684172830487,0.0,0.026384441857396662,17.750850030012362,-0.029279540194960364,0.5625076281817801,0.0011250152563635604,1.0
gated_prediction_only_seed101,ablation,gated_prediction_only,101,0.8423558897243107,0.058383188330795144,14.42805564080502,1.0,6,6,120,0.8687891143015793,0.02648661910083805,0.00433200324939052,21.18011800191065,0.0,0.026083097854808026,12.780234595525288,-0.02913823991900823,0.5620248930350393,0.0011240497860700788,1.0
