run_id,date,long_ret,short_ret,ls_ret,ls_ret_net,turnover,traded_notional,transaction_cost,n_long,n_short
baseline_ridge,2011-03-01,0.0238358751119457,-0.0249786274794836,0.0244072512957147,0.0234072512957147,0.5,1.0,0.001,4,4
baseline_ridge,2011-04-01,0.0348981009177975,-0.0139390314280928,0.0244185661729452,0.0226919963640535,0.8632849044458476,1.7265698088916952,0.0017265698088916,4,4
baseline_ridge,2011-05-01,0.0229944258193005,-0.0248978265927667,0.0239461262060336,0.0224395306687809,0.7532977686263335,1.506595537252667,0.0015065955372526,4,4
baseline_ridge,2011-06-01,0.0217749575279825,-0.0229059090749607,0.0223404333014716,0.0208521888140472,0.7441222437121934,1.4882444874243868,0.0014882444874243,4,4
baseline_ridge,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0301390459370952,0.8645099090631242,1.7290198181262484,0.0017290198181262,4,4
baseline_ridge,2011-08-01,0.0287633933612039,-0.033191391842272,0.0309773926017379,0.0302287235483891,0.3743345266744273,0.7486690533488547,0.0007486690533488,4,4
baseline_random_forest,2011-03-01,0.0159792449544594,-0.0241308258237708,0.0200550353891151,0.0190550353891151,0.5,1.0,0.001,4,4
baseline_random_forest,2011-04-01,0.0331714531680343,-0.0184857942950889,0.0258286237315616,0.0238513220403089,0.9886508456263412,1.9773016912526824,0.0019773016912526,4,4
baseline_random_forest,2011-05-01,0.0229572060517904,-0.0248978265927667,0.0239275163222786,0.0231636191720639,0.3819485751073575,0.763897150214715,0.0007638971502147,4,4
baseline_random_forest,2011-06-01,0.0255533065235692,-0.0256303877382713,0.0255918471309203,0.0248329226244543,0.3794622532329895,0.7589245064659791,0.0007589245064659,4,4
baseline_random_forest,2011-07-01,0.0279111897969939,-0.0322179978032148,0.0300645938001044,0.0288232636590823,0.6206650705110326,1.2413301410220652,0.001241330141022,4,4
baseline_random_forest,2011-08-01,0.0241527844331939,-0.0340287494620878,0.0290907669476408,0.0283237855436744,0.3834907019832379,0.7669814039664758,0.0007669814039664,4,4
baseline_mlp,2011-03-01,-0.0031236061665349,-0.0101719456030399,0.0035241697182525,0.0025241697182525,0.5,1.0,0.001,4,4
baseline_mlp,2011-04-01,0.035424918719391,-0.0179544436305738,0.0266896811749824,0.0249488300273294,0.8704255738265055,1.740851147653011,0.001740851147653,4,4
baseline_mlp,2011-05-01,0.0211952146174583,-0.0197719202472483,0.0204835674323533,0.0194878010167503,0.4978832078014972,0.9957664156029944,0.0009957664156029,4,4
baseline_mlp,2011-06-01,0.0217749575279825,-0.0235507734755357,0.0226628655017591,0.0211554313675863,0.7537170670863911,1.5074341341727822,0.0015074341341727,4,4
baseline_mlp,2011-07-01,0.0179337546553952,-0.0230748941551565,0.0205043244052758,0.0190129341956902,0.7456951047928311,1.4913902095856622,0.0014913902095856,4,4
baseline_mlp,2011-08-01,0.0209531325710588,-0.0322493592224709,0.0266012458967649,0.0258349276183181,0.3831591392233824,0.7663182784467648,0.0007663182784467,4,4
baseline_transformer,2011-03-01,0.016799095944875,-0.0218001788785011,0.019299637411688,0.018299637411688,0.5,1.0,0.001,4,4
baseline_transformer,2011-04-01,0.0389805233292475,-0.0200111851317235,0.0294958542304855,0.0277662806139529,0.8647868082662923,1.7295736165325846,0.0017295736165325,4,4
baseline_transformer,2011-05-01,0.0261618684317678,-0.0139610551807337,0.0200614618062507,0.0192928033483609,0.3843292289449304,0.7686584578898609,0.0007686584578898,4,4
baseline_transformer,2011-06-01,0.0217749575279825,-0.0301695019432706,0.0259722297356265,0.0247094117628792,0.6314089863736703,1.2628179727473403,0.0012628179727473,4,4
baseline_transformer,2011-07-01,0.0217699821655381,-0.0341948593000813,0.0279824207328097,0.0267459660451466,0.6182273438315695,1.236454687663139,0.0012364546876631,4,4
baseline_transformer,2011-08-01,0.0287633933612039,-0.0385723952967297,0.0336678943289668,0.0326654207757459,0.5012367766104442,1.0024735532208884,0.0010024735532208,4,4
baseline_tfa,2011-03-01,0.0241230826390845,-0.0241308258237708,0.0241269542314277,0.0231269542314277,0.5,1.0,0.001,4,4
baseline_tfa,2011-04-01,0.0319046431440243,-0.0218703850185161,0.0268875140812702,0.0249101220535537,0.9886960138582476,1.9773920277164951,0.0019773920277164,4,4
baseline_tfa,2011-05-01,0.0295906793507606,-0.0248978265927667,0.0272442529717637,0.0267295952904284,0.2573288406676216,0.5146576813352433,0.0005146576813352,4,4
baseline_tfa,2011-06-01,0.0255533065235692,-0.0301695019432706,0.0278614042334199,0.0268559569460494,0.5027236436852411,1.0054472873704825,0.0010054472873704,4,4
baseline_tfa,2011-07-01,0.0315181337072281,-0.0322179978032148,0.0318680657552214,0.0306299137959287,0.6190759796463667,1.2381519592927337,0.0012381519592927,4,4
baseline_tfa,2011-08-01,0.0287633933612039,-0.0385723952967297,0.0336678943289668,0.0331486153424066,0.2596394932801182,0.5192789865602365,0.0005192789865602,4,4
