variant,label,mean_ic,seed_count,seed_min,seed_max,ci_low,ci_high
ridge,Ridge,0.07484970857439548,1,0.07484970857439546,0.07484970857439546,0.03851099343634303,0.12784787843054957
random_forest,Random forest,0.07795157266910933,1,0.07795157266910933,0.07795157266910933,0.040376910069109755,0.12619804564220832
mlp,MLP,0.030169673901802457,1,0.030169673901802446,0.030169673901802446,-0.024203580827335605,0.09872553862653664
transformer,Transformer,0.05979355800838811,1,0.05979355800838811,0.05979355800838811,0.004357112050190845,0.11607441216900005
ungated,TFA ungated,0.09098062853070286,3,0.08593807397837915,0.10042720847145208,0.012683025990195475,0.17497530867659716
gated,TFA gated,0.09198954399770208,3,0.0731116753736037,0.12074300933867337,0.014934740515823176,0.17317766055985498
gated_prediction_only,TFA prediction-only,0.09086884484677715,3,0.0721506819553954,0.11921038405918238,0.006341216148122267,0.17678991122783408
