variant,seed,date,ic,assets
ridge,42,2023-01-01,-0.0481469720522695,357
ridge,42,2023-02-01,0.1083932594687463,358
ridge,42,2023-03-01,0.0158745296442841,362
ridge,42,2023-04-01,0.0928302141712718,364
ridge,42,2023-05-01,-0.0189883635369628,367
ridge,42,2023-06-01,0.0399742153323767,409
ridge,42,2023-07-01,0.2397018809184033,369
ridge,42,2023-08-01,0.1214895081380632,372
ridge,42,2023-09-01,0.2263845074727731,373
ridge,42,2023-10-01,-0.071730684575879,376
ridge,42,2023-11-01,0.0742943428841072,378
ridge,42,2023-12-01,0.1181200650278311,424
random_forest,42,2023-01-01,0.1090145053062339,357
random_forest,42,2023-02-01,0.0574073437179178,358
random_forest,42,2023-03-01,0.0595330276680418,362
random_forest,42,2023-04-01,0.082515621521419,364
random_forest,42,2023-05-01,-0.047709425624885,367
random_forest,42,2023-06-01,0.0688460799952738,409
random_forest,42,2023-07-01,0.312193636487997,369
random_forest,42,2023-08-01,0.0728577597585947,372
random_forest,42,2023-09-01,0.133838876834232,373
random_forest,42,2023-10-01,0.0526702409842541,376
random_forest,42,2023-11-01,0.0551195880967088,378
random_forest,42,2023-12-01,-0.020868382716476,424
mlp,42,2023-01-01,-0.0054514245421975,357
mlp,42,2023-02-01,0.0785868752315676,358
mlp,42,2023-03-01,-0.1010992569170939,362
mlp,42,2023-04-01,-0.014061282059241,364
mlp,42,2023-05-01,-0.0592533951316375,367
mlp,42,2023-06-01,-0.0396380727868896,409
mlp,42,2023-07-01,0.3221300634656022,369
mlp,42,2023-08-01,0.048169033471801,372
mlp,42,2023-09-01,0.1480301603429981,373
mlp,42,2023-10-01,-0.0283411027710367,376
mlp,42,2023-11-01,0.0016219289234085,378
mlp,42,2023-12-01,0.0113425595943482,424
transformer,42,2023-01-01,-0.1413010625127585,357
transformer,42,2023-02-01,0.1018162159985343,358
transformer,42,2023-03-01,0.0334138181818505,362
transformer,42,2023-04-01,0.0578720195042828,364
transformer,42,2023-05-01,0.160992880425776,367
transformer,42,2023-06-01,-0.1016061659050426,409
transformer,42,2023-07-01,0.2436982577278348,369
transformer,42,2023-08-01,0.0764727856130927,372
transformer,42,2023-09-01,0.2046970175921275,373
transformer,42,2023-10-01,0.0735422992268186,376
transformer,42,2023-11-01,-0.0200049379959349,378
transformer,42,2023-12-01,0.0279295682440762,424
ungated,13,2023-01-01,-0.1967093911822466,357
ungated,13,2023-02-01,0.138990928923904,358
ungated,13,2023-03-01,0.1140893596839049,362
ungated,13,2023-04-01,0.2305790243740712,364
ungated,13,2023-05-01,0.0858497764254164,367
ungated,13,2023-06-01,0.0295636184846559,409
ungated,13,2023-07-01,0.5219637119671906,369
ungated,13,2023-08-01,0.0177875915892606,372
ungated,13,2023-09-01,0.1727622650519108,373
ungated,13,2023-10-01,0.0076873412720808,376
ungated,13,2023-11-01,-0.0786135618253487,378
ungated,13,2023-12-01,-0.0126937770242502,424
gated,13,2023-01-01,-0.1903482000336143,357
gated,13,2023-02-01,0.138129682114185,358
gated,13,2023-03-01,0.1188297865613798,362
gated,13,2023-04-01,0.2515243319273715,364
gated,13,2023-05-01,0.0815057364196579,367
gated,13,2023-06-01,0.0163701339133254,409
gated,13,2023-07-01,0.5051076358682437,369
gated,13,2023-08-01,0.025474999548355,372
gated,13,2023-09-01,0.1405988166498358,373
gated,13,2023-10-01,0.0074381172752412,376
gated,13,2023-11-01,-0.0712657794382192,378
gated,13,2023-12-01,-0.0379978934358116,424
gated_prediction_only,13,2023-01-01,-0.2494272833105372,357
gated_prediction_only,13,2023-02-01,0.1482605129061285,358
gated_prediction_only,13,2023-03-01,0.0763469407115363,362
gated_prediction_only,13,2023-04-01,0.2849778045726262,364
gated_prediction_only,13,2023-05-01,0.1139687808842852,367
gated_prediction_only,13,2023-06-01,0.0570752152051972,409
gated_prediction_only,13,2023-07-01,0.5061114769995774,369
gated_prediction_only,13,2023-08-01,0.0234706276235484,372
gated_prediction_only,13,2023-09-01,0.1344913190730924,373
gated_prediction_only,13,2023-10-01,-0.0085219256165697,376
gated_prediction_only,13,2023-11-01,-0.0753807061767838,378
gated_prediction_only,13,2023-12-01,-0.0364271405630577,424
ungated,42,2023-01-01,-0.0198909266801315,357
ungated,42,2023-02-01,0.0703549458857112,358
ungated,42,2023-03-01,0.0253550039525937,362
ungated,42,2023-04-01,0.1722871258434673,364
ungated,42,2023-05-01,0.0945019271913287,367
ungated,42,2023-06-01,-0.0004679511147192,409
ungated,42,2023-07-01,0.5452204396194592,369
ungated,42,2023-08-01,0.0509138704538347,372
ungated,42,2023-09-01,0.1534308743992464,373
ungated,42,2023-10-01,0.0135842880523731,376
ungated,42,2023-11-01,-0.0535395404886512,378
ungated,42,2023-12-01,-0.012830819407185,424
gated,42,2023-01-01,-0.0591081074950851,357
gated,42,2023-02-01,0.063219648144213,358
gated,42,2023-03-01,0.0114348781935201,362
gated,42,2023-04-01,0.1548368291009634,364
gated,42,2023-05-01,0.0924080775741571,367
gated,42,2023-06-01,0.0104059489074883,409
gated,42,2023-07-01,0.5029197494338915,369
gated,42,2023-08-01,-0.0111492824087429,372
gated,42,2023-09-01,0.1749267823571927,373
gated,42,2023-10-01,-0.0165424685365991,376
gated,42,2023-11-01,-0.0325983273580254,378
gated,42,2023-12-01,-0.0134136234297292,424
gated_prediction_only,42,2023-01-01,-0.1104848693604615,357
gated_prediction_only,42,2023-02-01,0.0852592495436085,358
gated_prediction_only,42,2023-03-01,-0.0122315889328181,362
gated_prediction_only,42,2023-04-01,0.1723715992831331,364
gated_prediction_only,42,2023-05-01,0.1083429407650582,367
